0,1,2,3
URHXUT,RHX OUTLET TEMPERATURE.,CVCS,Letdown Line
WRCPSI1,SEAL INJECTION FLOW TO RCP #1,RCS,RCP
WRCPSI2,SEAL INJECTION FLOW TO RCP #2,RCS,RCP
WRCPSI3,SEAL INJECTION FLOW TO RCP #3,RCS,RCP
WRCPSR1,RCP #1 SEAL RETURN FLOW.,RCS,RCP
WRCPSR2,RCP #2 SEAL RETURN FLOW.,RCS,RCP
WRCPSR3,RCP #3 SEAL RETURN FLOW.,RCS,RCP
ZVCT,VOLUME CONTROL TANK LEVEL.,CVCS,VCT
WFWLN1,FEEDWATER LINE #1 FLOW (KG/SEC).,Feedwater system,Feedwater Line
WFWLN2,FEEDWATER LINE #2 FLOW (KG/SEC).,Feedwater system,Feedwater Line
WFWLN3,FEEDWATER LINE #3 FLOW (KG/SEC).,Feedwater system,Feedwater Line
ZINST86,STEAM LINE 2 FLOW        ,Main steam system,Steam Line
ZINST87,STEAM LINE 1 FLOW        ,Main steam system,Steam Line
ZINST99,MAIN STEAM HEADER PRESSURE       ,Main steam system,SG
BFV478,FW CONTROL VLV #1 POS (0-1),Feedwater system,Feedwater Line
BFV479,FW BYPASS VLV #1 POS (0-1),Feedwater system,Feedwater Line
BFV488,FW CONTROL VLV #2 POS (0-1),Feedwater system,Feedwater Line
BFV489,FW BYPASS VLV #2 POS (0-1),Feedwater system,Feedwater Line
BFV498,FW CONTROL VLV #3 POS (0-1),Feedwater system,Feedwater Line
BFV499,FW BYPASS VLV #3 POS (0-1),Feedwater system,Feedwater Line
BHV6,HV6 VALVE POSITION,RCS,PRZ
BPORV,POWER OPERATED RELIEF VALVE (PV445)POSITION.,RCS,PRZ
KSWO119,PV445 OPEN,RCS,PRZ
QPRZH,PROPORTIONAL HEATER FRACTIONAL POWER.,RCS,PRZ
UCHGUT,CHARGING LINE OUTLET TEMPERATURE,CVCS,Charging Line
UNRHXUT,NRHX OUTLET TEMPERATURE.,CVCS,Letdown Line
UPRZ,PRZ TEMPERATURE.,RCS,PRZ
WCHGNO,NORMAL CHARGING FLOW.,CVCS,Charging Line
ZINST63,PRZ LEVEL,RCS,PRZ
ZINST65,PRZ PRESSURE(WIDE RANGE)         ,RCS,PRZ
ZINST73,S/G 3 PRESSURE          ,Main steam system,SG
ZINST74,S/G 2 PRESSURE          ,Main steam system,SG
ZINST75,S/G 1 PRESSURE          ,Main steam system,SG
ZINST22,CONTAINMENT RADIATION            ,Containment system,Containment
KBCDO10,CONTROL BANK A POSITION.,Rod control system,Rod
KBCDO3,SHUTDOWN BANK D POSITION.,Rod control system,Rod
KBCDO4,SHUTDOWN BANK C POSITION.,Rod control system,Rod
KBCDO5,SHUTDOWN BANK B POSITION.,Rod control system,Rod
KBCDO6,SHUTDOWN BANK A POSITION.,Rod control system,Rod
KBCDO7,CONTROL BANK D POSITION.,Rod control system,Rod
KBCDO8,CONTROL BANK C POSITION.,Rod control system,Rod
KBCDO9,CONTROL BANK B POSITION.,Rod control system,Rod
ZINST1,POWER RANGE PERCENT POWER           ,Rod control system,Rod
ZINST2,INTERMEDIATE RANGE NEUTRON LEVEL    ,Rod control system,Rod
ZINST3,SOURCE RANGE NEUTRON LEVEL         ,Rod control system,Rod
UAVLEGM,"LOOP 1,2,3 AVERAGE TEMPERATURE(MEAN VALUE).",RCS,Reactor Coolant
