Type,X1,Y1,X2,Y2,Opt
PIPE,172.0,295.0,172.0,375.0999375780032,1
PIPE,43.0,91.0,42.99999999999999,117.9034558190862,0
PIPE,231.0,117.0,231.0,90.65925047766684,0
PIPE,499.0,299.0,534.9460884440333,299.0,2
PIPE,499.0,301.0,499.0,418.7042075735101,0
PIPE,543.0,370.0,543.0,420.0399840127872,1
PIPE,646.0,480.0,646.0,560.0249960949702,1
PIPE,776.0,216.0,776.0,191.1278731929348,1
PIPE,776.0,189.0,810.532593299664,154.46740670033597,0
PIPE,839.0,229.0,839.0,280.0811774042332,2
PIPE,656.0,226.0,839.0047269365916,226.0,0
PIPE,547.0,225.0,641.0,225.0,0
PIPE,542.0,721.0,542.0,553.9970060148621,2
PIPE,420.0,22.0,453.1096569692271,22.0,0
PIPE,249.0,721.0,541.0068492347398,721.0,0
PIPE,247.0,620.0,247.0,720.0,0
PIPE,205.0,721.0,246.0,721.0,0
PIPE,203.0,675.0,244.0,675.0,0
PIPE,204.0,620.0,245.0,620.0,0
PIPE,120.0,724.0,150.0,724.0,2
PIPE,120.0,672.0,150.0,672.0,2
PIPE,120.0,623.0,150.0,623.0,2
PIPE,120.0,624.0,120.0,724.0,0
PIPE,120.0,623.0,120.0,673.0,0
PIPE,88.0,672.0,121.0,672.0,0
PIPE,89.0,493.0,88.99999999999997,670.0048656114728,0
PIPE,91.0,425.0,91.0,435.47592163134937,2
PIPE,199.0,428.0,219.17931780631224,407.8206821936878,0
PIPE,100.0,334.0,158.21640489119207,334.0,1
PIPE,44.0,265.0,71.0,265.0,1
PIPE,91.0,301.0,91.0,341.1551901254757,2
PIPE,92.0,154.0,92.0,240.0,2
PIPE,497.0,21.0,841.0981175435409,21.0,1
PIPE,544.0,310.0,544.0,224.9482912287185,0
PIPE,603.0,100.0,690.0059521700695,100.0,0
PIPE,691.0,127.0,691.0,100.0,0
PIPE,648.0,126.0,648.0,29.99367113958528,2
PIPE,602.0,128.0,602.0,101.0,0
PIPE,690.0,209.0,690.0,185.4201461630268,2
PIPE,605.0,209.0,605.0,186.883229477461,2
PIPE,609.0,209.0,689.0256368125247,209.0,0
PIPE,647.0,423.0,647.0,186.99038483762345,2
PIPE,647.0,744.0,647.0,619.6011084191698,2
PIPE,839.0,744.0,646.9964539452997,744.0,0
PIPE,839.0,376.0,838.9999999999999,742.0129191174899,0
PIPE,499.0,562.0,540.1028111204935,562.0,0
PIPE,542.0,476.0,542.0,495.5587033144705,1
PIPE,499.0,476.0,499.0,561.1315757064193,1
PIPE,101.0,428.0,198.4935895328508,428.0,1
PIPE,43.0,119.0,121.01057825244985,119.0,0
PIPE,17.0,154.0,17.0,22.519893096626333,0
PIPE,221.0,22.0,315.1082580072164,22.0,1
PIPE,164.0,23.0,175.31849826321388,23.0,1
PIPE,232.0,23.0,232.0,52.363913009482985,0
PIPE,164.0,53.0,232.00588214941365,53.0,1
PIPE,98.0,23.0,117.07323227486324,23.0,1
PIPE,43.0,25.0,42.99999999999999,52.19888974182203,0
PIPE,18.0,23.0,55.01351104664349,23.0,0
PIPE,44.0,53.0,120.33624704172072,53.0,0
PIPE,167.0,90.0,177.3670327746528,90.0,1
PIPE,224.0,89.0,315.0834896855658,89.0,1
PIPE,99.0,89.0,119.46706583199544,89.0,1
PIPE,19.0,154.0,81.8232624751532,154.0,2
PIPE,19.0,89.0,56.208428720284935,89.0,0
PIPE,101.0,152.0,420.0905786286796,152.0,1
PIPE,315.0,24.0,315.0,86.43728829421187,0
PIPE,167.0,118.0,229.7542046135911,118.0,1
PIPE,420.0,97.0,420.0,149.55987851077347,0
PIPE,401.0,62.0,314.8885349088601,61.99999999999999,0
PIPE,420.0,23.0,420.0,39.006047381459865,2
