CNS,Input,Output,Name,,,
ZINST1,1,1,POWER RANGE PERCENT POWER ,0,,o
UOVER,1,1,OVERTEMPERATURE DELTA-T.,1,,o
ZINST58,1,1,PRZ PRESSURE(NARROW RANGE),2,,o
ZINST64,1,1,PRZ LEVEL(UNCOMPENSATED) ,3,,o
ZINST79,1,1,LOOP 3 FLOW ,4,0,o
ZINST80,1,1,LOOP 2 FLOW ,5,0,o
ZINST81,1,1,LOOP 1 FLOW ,6,0,o
ZINST76,1,1,S/G 3 LEVEL(NARROW) ,7,,
ZINST77,1,1,S/G 2 LEVEL(NARROW),8,,
ZINST78,1,1,S/G 1 LEVEL(NARROW),9,,
KZROD17,1,0,input,,,
KZROD50,1,0,input,,,
KBCDO4,1,0,input,,,
KZROD20,1,0,input,,,
ZBANK,1,0,input,,,
KZROD21,1,0,input,,,
KZROD22,1,0,input,,,
KZROD51,1,0,input,,,
KZROD52,1,0,input,,,
KBCDO3,1,0,input,,,
KBCDO16,1,0,input,,,
ZINST125,1,0,input,,,
WBOAC,1,0,input,,,
ZINST35,1,0,input,,,
CBORON,1,0,input,,,
USUBMA,1,0,input,,,
KBCDO15,1,0,input,,,
CXENOR,1,0,input,,,
CXENON,1,0,input,,,
UOVER,1,0,input,,,
ZINST13,1,0,input,,,
CXEMPCM,1,0,input,,,
ZINST11,1,0,input,,,
ZINST80,1,0,input,,,
ZINST81,1,0,input,,,
WSGRCP2,1,0,input,,,
WSGRCP1,1,0,input,,,
ZINST79,1,0,input,,,
WSGRCP3,1,0,input,,,
SIGMAA,1,0,input,,,
ZINST15,1,0,input,,,
TCIRCD,1,0,input,,,
WDEWT,1,0,input,,,
ZINST37,1,0,input,,,
ZINST126,1,0,input,,,
PCDTB,1,0,input,,,
ZINST114,1,0,input,,,
ZAFWTK,1,0,input,,,
EAFWTK,1,0,input,,,
ZINST51,1,0,input,,,
UCOLEG1,1,0,input,,,
UCOLEGM,1,0,input,,,
ZINST49,1,0,input,,,
UCOLEG3,1,0,input,,,
ZINST50,1,0,input,,,
UCOLEG2,1,0,input,,,
UCOOL,1,0,input,,,
PSG2,1,0,input,,,
ZINST74,1,0,input,,,
ZINST10,1,0,input,,,
CIODMPC,1,0,input,,,
UAVLEG1,1,0,input,,,
ZINST61,1,0,input,,,
UAVLMO,1,0,input,,,
ZINST7,1,0,input,,,
UAVLEGM,1,0,input,,,
UAVLEG3,1,0,input,,,
ZINST59,1,0,input,,,
ZINST60,1,0,input,,,
UAVLEG2,1,0,input,,,
ZINST62,1,0,input,,,
UPRZ,1,0,input,,,
CIOD,1,0,input,,,
ZINST53,1,0,input,,,
UHOLEG2,1,0,input,,,
UHOLEGM,1,0,input,,,
UHOLEG1,1,0,input,,,
UHOLEG3,1,0,input,,,
ZINST54,1,0,input,,,
ZINST52,1,0,input,,,
UUPPPL,1,0,input,,,
ZINST46,1,0,input,,,
ZPRZUN,1,0,input,,,
ZINST64,1,0,input,,,
ZPRZ,1,0,input,,,
ZPRZNO,1,0,input,,,
ZINST63,1,0,input,,,
PPRZW,1,0,input,,,
PPRZ,1,0,input,,,
PPRZCO,1,0,input,,,
PPRZLP,1,0,input,,,
PPRZN,1,0,input,,,
ZINST58,1,0,input,,,
ZINST65,1,0,input,,,
PLETIN,1,0,input,,,
UFUEL19,1,0,input,,,
UFUEL18,1,0,input,,,
UFUEL17,1,0,input,,,
VRWST,1,0,input,,,
CBRWIN,1,0,input,,,
