,0
ZINST1,-1.00E+01
UOVER,-1
ZINST58,49.04045563
ZINST64,-9.082212372
ZINST79,0
ZINST80,0
ZINST81,0
ZINST76,-11
ZINST77,-11
ZINST78,-11
KZROD17,-25.08
KZROD50,-25.08
KBCDO4,-25.08
KZROD20,-25.08
ZBANK,-25.08
KZROD21,-25.08
KZROD22,-25.08
KZROD51,-25.08
KZROD52,-25.08
KBCDO3,-25.08
KBCDO16,361.8
ZINST125,16.27918053
WBOAC,0.488864297
ZINST35,0.488864297
CBORON,0.000361625
USUBMA,7.596881104
KBCDO15,7.2
CXENOR,0.847176844
CXENON,0.678288925
UOVER,0.84809314
ZINST13,0.84809314
CXEMPCM,2375.168335
ZINST11,2375.168335
ZINST80,89.62064896
ZINST81,87.49943619
WSGRCP2,4120.960693
WSGRCP1,4025.122559
ZINST79,89.44642639
WSGRCP3,4112.009033
SIGMAA,0.003818165
ZINST15,-16.00354309
TCIRCD,-9356.253672
WDEWT,7.759470177
ZINST37,7.759470177
ZINST126,77.5947052
PCDTB,108534.8953
ZINST114,0.207498935
ZAFWTK,2.074989295
EAFWTK,705496.3875
ZINST51,84.93431396
UCOLEG1,84.92843628
UCOLEGM,86.38741379
ZINST49,87.03032684
UCOLEG3,87.03156281
ZINST50,87.04381256
UCOLEG2,87.04451981
UCOOL,86.52672043
PSG2,85331.79844
ZINST74,0.870734257
ZINST10,7.58034668
CIODMPC,7.58034668
UAVLEG1,85.98218994
ZINST61,85.98787537
UAVLMO,86.62406616
ZINST7,86.62406616
UAVLEGM,86.62519226
UAVLEG3,86.90090103
ZINST59,86.8997612
ZINST60,86.90713577
UAVLEG2,86.9082962
ZINST62,91.28567505
UPRZ,91.28534546
CIOD,0.058314952
ZINST53,86.77045898
UHOLEG2,86.77150269
UHOLEGM,86.77097397
UHOLEG1,86.7711731
UHOLEG3,86.77023926
ZINST54,86.77012939
ZINST52,86.76919556
UUPPPL,86.69602661
ZINST46,86.69495544
ZPRZUN,-0.908228559
ZINST64,-9.082212372
ZPRZ,-1.1
ZPRZNO,-0.11
ZINST63,-11
PPRZW,4806621.45
PPRZ,4806621.45
PPRZCO,-11066053.9
PPRZLP,-11066053.9
PPRZN,4805955.9
ZINST58,49.04045563
ZINST65,49.04045563
PLETIN,4506083.1
UFUEL19,86.68501282
UFUEL18,86.68314514
UFUEL17,86.68015137
VRWST,1289903.4
CBRWIN,806.3178223
